所属项目,电压条件文件夹,电压条件,文件名,项目标记,正切换电压(V),负切换电压(V),数据点数
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L01.txt,正常,0.855,-0.3,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L02.txt,正常,1.095,-1.335,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L03.txt,正常,0.915,-1.455,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L04.txt,正常,0.81,-0.69,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L05.txt,正常,1.275,-0.135,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L06.txt,正常,0.24,-0.48,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L07.txt,正常,1.125,-0.57,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L08.txt,正常,0.495,-0.54,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L09.txt,正常,1.155,-1.41,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L10.txt,正常,0.87,-0.255,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L11.txt,正常,0.435,-1.005,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L12.txt,正常,0.405,-0.45,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L13.txt,正常,1.23,-0.39,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L14.txt,正常,1.32,-0.435,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L15.txt,正常,0.33,-1.11,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R00.txt,正常,1.065,-1.29,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R01.txt,正常,0.72,-0.57,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R02.txt,正常,1.14,-1.38,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R03.txt,正常,1.095,-1.155,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R04.txt,正常,0.81,-0.72,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R05.txt,正常,0.99,-1.32,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R06.txt,正常,1.23,-1.23,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R07.txt,正常,1.455,-0.06,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R08.txt,正常,0.765,-0.555,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R09.txt,正常,0.645,-1.365,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R10.txt,正常,0.015,-1.08,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R11.txt,正常,0.105,-1.455,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R12.txt,正常,0.765,-1.32,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R13.txt,正常,1.35,-1.44,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R14.txt,正常,0.315,-1.305,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_R15.txt,正常,0.255,-1.14,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L00.txt,正常,0.03,-1.275,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L01.txt,正常,0.33,-1.38,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L02.txt,正常,0.18,-1.275,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L03.txt,正常,0.78,-1.38,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L04.txt,正常,0.09,-1.275,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L05.txt,正常,1.365,-0.765,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00101_BL_L06.txt,正常,0.285,-0.585,404
