所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W035-265TC2-20250703-D24,8_n3p3v,-3v~3v,正常,1024,1024,1.487431640625,1.455,0.6524341558182282,0.03,3.0,2.97,1.5364824369519274,1024,-2.0975390625,-2.1,0.6628086794024368,-3.0,-0.12,2.88,1.5609144399927386
24B-W035-266TC2-20250710-D26,1_np1v,-1v~1v,正常,65,65,0.45384615384615384,0.43,0.2678134396581666,0.01,0.93,0.92,0.6307006503949824,65,-0.5626153846153846,-0.51,0.3050731312072818,-1.0,-0.06,0.94,0.7184472239931486
24B-W036-271TC2-20250619-D27,7_np3v,-3v~3v,正常,608,608,1.747154605263158,1.62,0.7276451801414203,0.03,3.0,2.97,1.7136043992330448,608,-2.167993421052632,-2.16,0.6378422645820234,-3.0,-0.09,2.91,1.5021185330906652
24B-W036-271TC2-20250619-D27,8_n3.3p3v,-3.3v~3v,正常,899,899,1.6188987764182423,1.56,0.6406229653462429,0.03,3.0,2.97,1.508667083390402,899,-2.4777753058954395,-2.71,0.7461371574294312,-3.3,-0.16,3.1399999999999997,1.7571530057463105
24B-W036-271TC2-20250619-D27,9_np3.3v,-3.3v~3.3v,正常,925,925,1.6757621621621621,1.58,0.6907681179112081,0.03,3.3,3.27,1.626758917680895,925,-2.461124324324324,-2.64,0.7284269883686885,-3.3,-0.07,3.23,1.7154455576082612
24B-W037-274TC2-20250527-D27,1_np1v,-1v~1v,正常,1024,1024,0.475849609375,0.47,0.27994878186742567,0.01,1.0,0.99,0.6592793812977874,1024,-0.517177734375,-0.54,0.297140072245499,-1.0,-0.01,0.99,0.6997648701381501
24B-W037-274TC2-20250527-D27,2_np1.5v,-1.5v~1.5v,正常,1024,1024,0.7447851562500001,0.74,0.4315261429589899,0.03,1.5,1.47,1.0162440666684212,1024,-0.82654296875,-0.87,0.43514714998509585,-1.5,-0.03,1.47,1.0247715382149007
24B-W037-274TC2-20250527-D27,3_np2v,-2v~2v,正常,1024,1024,0.97521484375,0.98,0.5702382009309382,0.02,2.0,1.98,1.3429109631923595,1024,-1.056171875,-1.08,0.5972876079068942,-2.0,-0.02,1.98,1.4066123166207358
24B-W037-274TC2-20250527-D27,4_np2.5v,-2.5v~2.5v,正常,1024,1024,1.298828125,1.35,0.7190770081473463,0.05,2.5,2.45,1.6934263541870005,1024,-1.3878710937499998,-1.43,0.7317897815918205,-2.5,-0.05,2.45,1.7233649356487373
24B-W037-274TC2-20250527-D27,5_np3v,-3v~3v,正常,1024,1024,1.46560546875,1.44,0.8482056413275254,0.03,3.0,2.97,1.9975242853263224,1024,-1.63095703125,-1.62,0.900234281502733,-3.0,-0.03,2.97,2.1200517329389363
24B-W037-274TC2-20250527-D27,6_np3.3v,-3.3v~3.3v,正常,1024,1024,1.756044921875,1.78,1.0156596371170863,0.03,3.3,3.27,2.3918784454107382,1024,-2.0781542968749998,-2.28,1.047153947449437,-3.3,-0.03,3.27,2.466047546243424
24B-W037-276TC2-20250523- D26,1_np1v,-1v~1v,正常,1024,1024,0.486865234375,0.48,0.27465118267186384,0.01,1.0,0.99,0.6468035351922393,1024,-0.508037109375,-0.51,0.28969015467965487,-1.0,-0.01,0.99,0.6822203142705872
24B-W037-276TC2-20250523- D26,2_np1.5v,-1.5v~1.5v,正常,1013,1013,0.7517670286278381,0.75,0.43017477032304713,0.03,1.5,1.47,1.013061584110776,1013,-0.8255083909180652,-0.87,0.4254932770710778,-1.5,-0.03,1.47,1.0020366675023882
24B-W037-276TC2-20250523- D26,3_np2v,-2v~2v,正常,1016,1016,0.9586023622047244,0.94,0.5698638808642168,0.02,2.0,1.98,1.3420294394352306,1016,-1.0741141732283466,-1.1,0.5810488247172741,-2.0,-0.02,1.98,1.3683699822091806
24B-W037-276TC2-20250523- D26,4_np2.5v,-2.5v~2.5v,正常,1024,1024,1.3300390625,1.39,0.740029455991842,0.05,2.5,2.45,1.742769368860788,1024,-1.453779296875,-1.5,0.7300961211781821,-2.5,-0.05,2.45,1.7193763653746188
24B-W037-276TC2-20250523- D26,5_np3v,-3v~3v,正常,1024,1024,1.683310546875,1.77,0.8714203847994835,0.03,3.0,2.97,2.0521950062027834,1024,-1.781396484375,-1.83,0.864924127799542,-3.0,-0.03,2.97,2.036896320967921
24B-W037-276TC2-20250523- D26,6_np3.3v,-3.3v~3.3v,正常,1016,1016,2.033996062992126,2.28,0.9948484925541146,0.03,3.3,3.27,2.34286819996494,1016,-2.181220472440945,-2.44,1.0033933002022741,-3.3,-0.03,3.27,2.3629912219763556
